event_name,block_number,txhash,log_index,timestamp,_balance,_blackListedUser,maxFee,newAddress,amount,_user,feeBasisPoints,contract_address,msg.sender
DestroyedBlackFunds,13462197,0x1602492ff9f0f0ef994ec4e32a4a5c8d31539e71b1d5c302346b4b7235a5ac58,51,2021-10-21T16:52:17,5700000000.0,0xfb896f4ffecfb73f58F023487F26929C40160012,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13462199,0x57033970fa14ad371cc1f81c9aa73dc50a4a30b9401ae9698a3e0005ec109727,37,2021-10-21T16:52:40,127970000000.0,0x00000000000000000000000000000000000012E5,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13462201,0x2c171a7409530c78dafb5960fec65e224ed8d743aad668c4258483c77ed617a8,18,2021-10-21T16:52:58,13470000000.0,0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13462207,0x210db19fa94e8b13c74bfeca213a0e6e1537957b2a901fe134c2c28588847295,16,2021-10-21T16:54:12,55544228251.0,0xDFDb7f72c1F195C5951a234e8DB9806EB0635346,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13462211,0x24f82565fe5c366f6b611a79184ce80974d5ec370dcfcf3f26785a36ef18caca,48,2021-10-21T16:55:01,2079954500.0,0x0CDF9acd87E940837ff21BB40c9fd55F68bba059,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13462219,0x12d42ed61685317841327f04818a516ce31c464c484f620397c447131009a230,28,2021-10-21T16:57:42,2119800000.0,0x1B1adcDB3502d4a92e53db16840165466F3c6236,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13462223,0x30310b07c27ac9166365ddcfc8d173a419922bbbd06f98c5c668d1e65802eec1,14,2021-10-21T16:58:11,60010000000.0,0xAACa86B876ca011844b5798ECA7a67591A9743C8,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13462231,0xaa8147a41ee1e8941e9b33fb1d86a1153d3c4dd4a6b29419ed53a159f413f46b,24,2021-10-21T16:59:54,6603881045.0,0x49e48c946593D793e0ea06CEb371eEb3E5a1eA52,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
AddedBlackList,13462354,0x6ea774ae84f2a01a89328640c516d5d01a2f29c72f1151993feb7c0f17f2e147,22,2021-10-21T17:26:44,,,,,,0x7b99FEA8F296fd21b4fC75aAC8aE602C247Fb7af,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13462371,0x9ed0be50a6000f4a8d93137e22dabe5dfb2b7bea4fcbd868f3881868d693ff2e,27,2021-10-21T17:29:26,,,,,,0x75954b2CcE7726B1aFbA2c1BC7724348e3DD1B87,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
